trace,thickness,thickness_user_lower,thickness_user_upper,thickness_user_std,thickness_user_nmad,thickness_user_count,temperate,temperate_user_lower,temperate_user_upper,temperate_user_std,temperate_user_nmad,temperate_user_count
1849,129.978683,128.955231,130.746277,1.344466,1.896708,10,64.221756,65.245209,60.895523,2.586347,3.793428,10.0
1856,129.21109,128.443497,129.978683,1.312714,1.896714,10,64.477615,65.245197,61.663116,2.536363,3.79343,10.0
1863,128.699371,127.675903,129.466949,1.389954,2.086388,10,64.733479,65.756939,62.686577,2.350604,3.224414,10.0
1870,127.931786,127.164185,128.955231,1.381561,1.707051,10,64.733486,66.268665,63.710037,2.25328,2.845071,10.0
1878,127.164185,126.396599,128.443497,1.380764,1.707045,10,65.245209,67.292114,64.733479,2.189257,2.655402,10.0
1885,126.652451,125.884865,127.931786,1.380507,1.517382,10,65.756927,67.547966,65.245197,2.120221,2.086388,10.0
1891,126.140732,125.373138,127.420052,1.451397,1.517377,10,66.012802,68.059708,65.501068,2.197053,3.034742,10.0
1898,125.373138,124.861412,126.908318,1.432227,1.517371,10,67.036247,68.57143,65.756935,2.331962,2.655399,10.0
1905,124.861412,124.349686,126.140732,1.44134,1.327708,10,68.059704,68.82729,66.012794,2.577893,2.276059,10.0
1911,124.349686,123.837952,125.884865,1.432225,1.517377,10,68.315563,69.083157,66.524525,2.55522,2.086388,10.0
1919,123.837952,123.326241,125.117279,1.392047,1.327697,10,68.82729,70.618332,68.571423,2.550235,2.086391,10.0
1926,123.326241,122.814507,124.605553,1.392049,1.327708,10,70.874214,71.897667,70.362484,2.926753,1.896717,10.0
1934,122.558632,122.30278,123.837952,1.410736,1.138023,10,73.432835,74.20042,73.176968,3.487534,1.327697,10.0
1941,122.046913,121.791046,123.326241,1.434513,1.327714,10,76.503201,77.526657,74.968021,3.616447,2.086391,10.0
1949,121.535179,121.02346,122.814507,1.419218,1.51736,10,80.341148,81.108738,77.526649,2.760482,2.655405,10.0
1956,121.02346,120.255859,122.30278,1.474521,1.896731,10,83.667381,84.179108,81.876339,2.777949,2.845074,10.0
1962,120.767593,120.000008,121.791046,1.37019,1.707034,10,86.993607,90.063967,85.20256,3.330052,4.36245,10.0
1970,120.255859,119.744141,121.279327,1.310497,1.517371,10,91.855005,96.716413,89.808098,4.405347,4.362446,10.0
1978,119.744141,119.488274,120.767593,1.317137,1.327708,10,97.739876,101.833691,94.669514,5.267449,4.741792,10.0
1985,119.232407,118.976555,120.255859,1.283293,1.327697,10,102.345413,105.671638,98.763323,5.346739,6.069493,10.0
1992,118.976555,118.72068,119.744141,1.200105,1.138028,10,105.415787,106.183376,103.368878,5.888507,2.845075,10.0
1999,118.464821,118.208969,119.232407,1.188226,0.948354,10,105.415779,107.462688,105.159916,3.746846,1.896715,9.0
2006,117.953094,117.697235,118.72068,1.189146,1.138023,10,107.718553,108.997869,106.439235,3.238974,2.655402,9.0
2012,117.697235,117.185501,118.464821,1.130183,1.138045,10,109.765465,110.021328,106.695103,3.300981,2.655404,9.0
2020,117.185501,116.673782,117.697235,1.250274,1.327703,10,110.533049,113.347548,106.183369,4.101805,4.931463,9.0
2028,116.673782,116.417908,117.185501,1.261855,1.138034,10,112.835829,114.115147,105.67165,4.39977,4.172776,9.0
2036,116.162048,115.906189,116.673782,1.336597,0.94836,10,112.324095,113.859276,105.159916,4.680936,5.690149,9.0
2043,115.650322,115.394463,116.673782,1.325673,1.327703,10,111.812369,113.34755,104.904053,4.649752,5.690149,9.0
2050,115.394463,114.882736,116.673782,1.413052,1.517371,10,111.556509,113.091691,104.904058,4.619933,5.690149,9.0
2059,115.394463,114.626869,116.673782,1.376549,1.896725,10,111.556509,113.091691,105.415784,4.564494,5.690149,9.0
2066,115.650322,114.37101,116.417908,1.315756,1.896714,10,111.812369,113.34755,106.183371,4.514822,5.690149,9.0
2072,115.650322,114.115135,116.417908,1.29233,1.517377,10,111.812369,113.34755,106.439234,4.520256,5.690149,9.0
2080,115.906189,114.115135,116.417908,1.248817,0.948348,10,112.068236,113.603417,106.950964,4.499086,5.690149,9.0
2086,115.906189,114.115135,116.162048,1.144573,0.948348,10,112.068236,113.603417,107.206828,4.479439,5.690149,9.0
2093,115.650322,114.115135,116.162048,1.119839,0.948348,10,111.812369,113.34755,107.206825,4.444798,5.310806,9.0
2099,115.394463,114.37101,116.417908,1.086874,0.75868,10,111.556509,113.091691,106.695102,4.448479,4.931462,9.0
2105,115.650322,114.626869,116.417908,0.97243,0.75868,10,111.812369,113.34755,106.950961,4.435378,4.55212,9.0
2111,115.906189,115.138603,116.417908,0.90622,0.758697,10,112.068236,113.603417,107.206828,4.423883,4.172775,9.0
2117,116.162048,115.394463,116.673782,0.802341,0.94836,10,112.324095,113.859276,107.462687,4.435378,4.55212,9.0
2124,116.162048,115.650322,116.673782,0.782139,0.94836,10,112.324095,114.11514,107.462687,4.46256,4.55212,9.0
2131,116.162048,115.906189,116.929642,0.751307,0.758686,10,112.324095,114.11514,107.462687,4.4405,4.931462,9.0
2137,116.417908,116.162048,116.929642,0.753242,0.758686,10,112.579954,114.370999,107.718547,4.4405,4.931462,9.0
2144,116.673782,116.417908,117.185501,0.718145,0.758697,10,112.835829,114.626874,107.974422,4.4405,4.931462,9.0
2151,116.929642,116.673782,117.441368,0.671556,0.569011,10,113.091688,114.882733,108.230281,4.455627,5.310806,9.0
2157,117.185501,117.185501,117.441368,0.612649,0.189674,10,113.347548,115.138593,108.48614,4.455627,5.310806,9.0
2163,117.441368,117.441368,117.697235,0.612651,0.189674,10,113.603415,115.39446,108.742007,4.455627,5.310806,9.0
2171,117.953094,117.697235,117.953094,0.571491,0.379348,10,114.115141,115.906186,109.253734,4.472329,5.690149,9.0
